ID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
62,"(1313.2525024414062, 62.51316452026367)","(2254.18310546875, 170.45330047607422)","(88.96483993530273, 591.3534240722656)","(1294.0428466796875, 68.07963943481445)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
63,"(1313.1209716796875, 62.01585578918457)","(2254.2078857421875, 170.8830108642578)","(89.00656127929688, 591.214111328125)","(1294.7942504882812, 66.79473686218262)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
64,"(1312.7156982421875, 60.02787399291992)","(2253.6630859375, 171.1186294555664)","(89.04423522949219, 591.1768493652344)","(1295.1887817382812, 63.987857818603516)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
65,"(1312.904541015625, 59.77160453796387)","(2253.6326904296875, 170.69858169555664)","(88.63538360595703, 591.6200256347656)","(1295.4026489257812, 63.42198944091797)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
66,"(1312.9949340820312, 60.32688331604004)","(2252.6461181640625, 170.28942489624023)","(88.23648643493652, 592.1175842285156)","(1294.5492553710938, 64.23459243774414)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
67,"(1312.6149291992188, 59.93249797821045)","(2252.6790771484375, 170.15998458862305)","(87.56959342956543, 592.4695129394531)","(1294.8699340820312, 63.71677207946777)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
68,"(1312.6283569335938, 61.17414474487305)","(2252.3642578125, 170.32012557983398)","(88.55884742736816, 592.5632934570312)","(1294.4627685546875, 65.20035552978516)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
69,"(1313.5645751953125, 62.00352096557617)","(2251.77294921875, 170.22137069702148)","(87.50085258483887, 592.5390930175781)","(1294.614501953125, 65.9118480682373)","(1337.2621459960938, 144.0981788635254)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
70,"(1313.5457153320312, 62.03852462768555)","(2250.3438720703125, 169.98062133789062)","(87.87446784973145, 592.2466735839844)","(1294.2216186523438, 65.61903762817383)","(1336.3844604492188, 144.5030632019043)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
71,"(1313.2058715820312, 61.29596138000488)","(2250.2486572265625, 169.36952590942383)","(87.5593147277832, 592.4754943847656)","(1294.0601806640625, 64.7052116394043)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
72,"(1311.7445068359375, 60.116586685180664)","(2249.8006591796875, 168.92156982421875)","(86.5386734008789, 592.0521240234375)","(1293.5447387695312, 63.17560386657715)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
73,"(1310.5055541992188, 59.87270545959473)","(2249.37841796875, 169.08790969848633)","(86.40575790405273, 592.0975952148438)","(1292.4951171875, 62.6383113861084)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
74,"(1309.6116333007812, 59.730194091796875)","(2248.782470703125, 169.34650039672852)","(86.7540454864502, 591.6689758300781)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
75,"(1309.95068359375, 60.295305252075195)","(2248.4052734375, 168.9793815612793)","(86.51646995544434, 591.9655151367188)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
76,"(1309.6471557617188, 60.0357780456543)","(2247.8450927734375, 169.34144592285156)","(86.48991775512695, 591.8731689453125)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
77,"(1309.8568725585938, 60.293827056884766)","(2247.554931640625, 169.3180923461914)","(86.92152404785156, 591.9344177246094)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
78,"(1309.6127319335938, 60.69235038757324)","(2247.10498046875, 169.16246795654297)","(87.05682563781738, 592.0077209472656)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
79,"(1309.9760131835938, 61.38689994812012)","(2247.497314453125, 169.39612197875977)","(86.75567626953125, 592.34033203125)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
80,"(1308.3511962890625, 60.67173957824707)","(2246.786865234375, 170.0133285522461)","(86.0184440612793, 592.3933715820312)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
81,"(1308.6149291992188, 61.215171813964844)","(2246.636474609375, 170.1707649230957)","(86.01329612731934, 592.7056274414062)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
82,"(1308.55322265625, 61.39584159851074)","(2246.484619140625, 170.07196426391602)","(86.31368446350098, 592.2847900390625)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
83,"(1308.8014526367188, 61.899763107299805)","(2246.6920166015625, 170.12269592285156)","(86.4620132446289, 592.4284057617188)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
84,"(1308.6451416015625, 62.179203033447266)","(2246.4844970703125, 170.29150772094727)","(86.9145336151123, 593.00048828125)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
85,"(1308.4149169921875, 62.26585578918457)","(2247.4364013671875, 169.83880996704102)","(87.06153106689453, 592.8407897949219)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
86,"(1308.2265014648438, 61.94516372680664)","(2247.1322021484375, 169.57114791870117)","(87.5975227355957, 592.6897888183594)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
87,"(1308.2425537109375, 62.05763816833496)","(2247.7884521484375, 169.29319381713867)","(88.0773983001709, 592.5648498535156)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
88,"(1308.4137573242188, 61.56244468688965)","(2247.9322509765625, 169.47096252441406)","(87.74321365356445, 593.4387512207031)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
89,"(1308.2615966796875, 61.275333404541016)","(2247.8250732421875, 169.24606323242188)","(87.4079761505127, 594.1693115234375)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
90,"(1308.4287719726562, 61.37249565124512)","(2247.8841552734375, 168.94893264770508)","(87.78696250915527, 594.6964111328125)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
