ID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
46,"(1550.90087890625, 597.1142883300781)","(1250.4639892578125, 356.2539978027344)","(1559.7562255859375, 211.88544464111328)","(844.3213500976562, 699.4125671386719)","(676.5336303710938, 369.8427734375)","(655.615478515625, 434.3047790527344)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
47,"(1550.81884765625, 597.1597595214844)","(1250.3260498046875, 356.3071594238281)","(1559.8634643554688, 211.789794921875)","(844.2569274902344, 699.4679870605469)","(676.427490234375, 369.8802795410156)","(655.3347473144531, 434.9661865234375)","(891.430908203125, 628.8692626953125)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
48,"(1550.7088623046875, 596.8227233886719)","(1250.0584106445312, 356.1058349609375)","(1559.447265625, 211.94054412841797)","(842.6116638183594, 700.8535461425781)","(675.6480407714844, 370.4056854248047)","(655.1585693359375, 436.0270538330078)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
49,"(1550.8124389648438, 597.0859375)","(1248.80517578125, 356.3182678222656)","(1558.9820556640625, 211.17993927001953)","(843.2098999023438, 701.0851135253906)","(674.9536437988281, 370.1720733642578)","(655.1141357421875, 437.05210876464844)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
50,"(1551.8919677734375, 597.2124328613281)","(1242.40283203125, 358.2187957763672)","(1558.4608764648438, 213.93023681640625)","(861.6133117675781, 680.9295349121094)","(674.6559143066406, 369.5603942871094)","(655.9719543457031, 436.58912658691406)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
51,"(1551.705322265625, 597.1573181152344)","(1242.2311401367188, 358.46815490722656)","(1558.2586669921875, 213.9866943359375)","(860.3961486816406, 682.3167724609375)","(674.5670776367188, 369.3651885986328)","(655.7767333984375, 436.6389923095703)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
52,"(1551.23681640625, 596.6142272949219)","(1243.6524047851562, 358.0663146972656)","(553.1440124511719, 398.83160400390625)","(1559.1436767578125, 213.6621322631836)","(844.9752502441406, 697.853515625)","(673.1567077636719, 370.4194641113281)","(655.5816650390625, 436.6197052001953)","(899.9542541503906, 630.2543029785156)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
53,"(1551.2802124023438, 596.5473937988281)","(1243.9882202148438, 357.93865966796875)","(553.1085815429688, 398.69830322265625)","(1559.1396484375, 213.60980224609375)","(848.9421997070312, 695.0148620605469)","(673.1910400390625, 370.4365234375)","(656.1889038085938, 436.53118896484375)","(900.0984191894531, 630.1157836914062)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
54,"(1551.49658203125, 597.0301208496094)","(1244.4457397460938, 358.08746337890625)","(552.9073486328125, 398.52606201171875)","(1558.9981079101562, 213.54823303222656)","(847.71875, 696.3927612304688)","(673.2369079589844, 370.5742492675781)","(656.9900512695312, 437.2329864501953)","(899.5345764160156, 630.4050598144531)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
55,"(1551.4569091796875, 597.0913391113281)","(1247.1472778320312, 356.88812255859375)","(554.2234191894531, 398.3306121826172)","(1559.0145874023438, 213.53472900390625)","(848.9566650390625, 694.8921508789062)","(886.5917663574219, 603.9141540527344)","(673.3703002929688, 372.5962677001953)","(657.2938232421875, 437.74327087402344)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
